Date,Open,High,Low,Close,Adj Close,Volume,Value Change,Change
2/25/2019,144.559998,144.880005,143.899994,143.979996,132.677231,3920000,,UP
2/26/2019,143.75,144.229996,143.589996,143.710007,132.428467,2155200,-0.001874956,DOWN
2/27/2019,143.389999,143.970001,142.880005,143.759995,132.474487,2046800,0.000347508,UP
2/28/2019,143.649994,143.899994,143.320007,143.460007,132.198044,2275100,-0.002086764,DOWN
3/1/2019,144.380005,144.600006,143.5,144.419998,133.082718,2985100,0.006692035,UP
3/4/2019,145,145.029999,142.419998,143.75,132.465302,3555400,-0.00463934,DOWN
3/5/2019,143.809998,143.899994,143.179993,143.479996,132.216461,2838000,-0.001878537,DOWN
3/6/2019,143.520004,143.550003,142.229996,142.389999,131.212036,2139600,-0.007596823,DOWN
3/7/2019,142.160004,142.25,140.759995,141.279999,130.189194,2851800,-0.007795337,DOWN
3/8/2019,140.130005,141.029999,139.919998,140.990005,129.921936,2328000,-0.002052843,DOWN
3/11/2019,141.389999,143.110001,141.360001,143.059998,131.829453,1910400,0.014682024,UP
3/12/2019,143.330002,143.839996,143.229996,143.539993,132.27179,1966100,0.003355373,UP
3/13/2019,143.960007,144.949997,143.940002,144.460007,133.119568,2013500,0.006409364,UP
3/14/2019,144.460007,144.639999,144.050003,144.339996,133.008972,1494000,-0.000830802,DOWN
3/15/2019,144.619995,145.479996,144.550003,145.009995,133.626343,2324300,0.004641574,UP
3/18/2019,145.100006,145.759995,144.949997,145.550003,134.123993,2489700,0.003724191,UP
3/19/2019,146.119995,146.470001,144.990005,145.520004,134.096329,6104600,-0.000206257,DOWN
3/20/2019,145.320007,145.990005,144.25,144.919998,133.543442,2900900,-0.004123058,DOWN
3/21/2019,144.479996,146.839996,144.360001,146.619995,135.110001,2949700,0.011730707,UP
3/22/2019,145.839996,146.070007,143.5,143.559998,132.290192,5151000,-0.020870468,DOWN
3/25/2019,142.580002,143.309998,141.899994,142.690002,132.199402,3676500,-0.000686294,DOWN
3/26/2019,143.699997,144.380005,143.009995,143.789993,133.218536,2861000,0.007709067,UP
3/27/2019,143.839996,144.149994,142.149994,143.130005,132.607056,3402700,-0.004590052,DOWN
3/28/2019,143.460007,143.979996,142.830002,143.759995,133.19072,2654500,0.004401455,UP
3/29/2019,144.610001,144.789993,144.029999,144.710007,134.070923,3614700,0.006608591,UP
4/1/2019,145.759995,146.479996,145.589996,146.389999,135.627365,3666800,0.011609094,UP
4/2/2019,146.419998,146.5,145.869995,146.380005,135.618088,4292800,-6.84E-05,DOWN
4/3/2019,147.080002,147.339996,146.320007,146.729996,135.942413,2404400,0.002391458,UP
4/4/2019,146.839996,147.149994,146.350006,147.039993,136.229614,2248400,0.002112667,UP
4/5/2019,147.389999,147.830002,147.259995,147.779999,136.915192,1744500,0.005032518,UP
4/8/2019,147.539993,147.929993,147.110001,147.910004,137.035645,2130500,0.000879764,UP
4/9/2019,147.320007,147.479996,146.710007,147.020004,136.211044,2150700,-0.00601742,DOWN
4/10/2019,147.240005,147.720001,147.070007,147.699997,136.84108,2019000,0.00462544,UP
4/11/2019,147.940002,147.960007,147.339996,147.690002,136.831802,1794600,-6.78E-05,DOWN
4/12/2019,148.550003,148.800003,148.130005,148.679993,137.749008,2612000,0.006703164,UP
4/15/2019,148.75,148.800003,148.059998,148.559998,137.637863,2083000,-0.000806866,DOWN
4/16/2019,149,149.059998,148.240005,148.600006,137.674896,2953300,0.000269061,UP
4/17/2019,149.199997,149.220001,147.770004,148.050003,137.165359,2983900,-0.003701016,DOWN
4/18/2019,148.399994,148.399994,147.509995,148.270004,137.369171,2457000,0.001485885,UP
4/22/2019,147.949997,148.410004,147.770004,148.309998,137.40625,2148600,0.000269922,UP
4/23/2019,148.550003,149.919998,148.449997,149.800003,138.786682,2344200,0.010046355,UP
4/24/2019,149.779999,150.050003,149.470001,149.600006,138.601395,1924600,-0.001335049,DOWN
4/25/2019,149.539993,149.690002,148.600006,149.350006,138.369797,2428600,-0.001670964,DOWN
4/26/2019,149.410004,150.160004,148.990005,150.160004,139.120224,2184500,0.005423344,UP
4/29/2019,150.220001,150.690002,150.130005,150.380005,139.324036,2461500,0.001465006,UP
4/30/2019,150.279999,150.600006,149.300003,150.389999,139.333298,2224500,6.65E-05,UP
