volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_trades,ticker
1362,149.506,149.5,149.17,149.63,149.17,1645182000000,16,MMM
712272,148.7607,149.27,148.9685,149.5,147.24,1645189200000,11388,MMM
1129174.0,148.6426,148.96,147.79,149.71,147.685,1645196400000,22836,MMM
884426,148.6319,147.78,149.04,149.25,147.63,1645203600000,15733,MMM
1627206.0,148.1229,149.045,147.62,149.4,147.29,1645210800000,27504,MMM
73950,147.6216,147.62,147.7,147.86,147.62,1645218000000,65,MMM
326,147.3853,147.5,147.25,147.5,147.25,1645225200000,6,MMM
2034,147.0266,147.1,147.62,147.62,146.6,1645520400000,53,MMM
2846,147.4732,148,147.62,148,147.1,1645527600000,91,MMM
784646,147.5405,147,147.5817,148.97,146.32,1645534800000,10738,MMM
984361,147.9129,147.5,148.02,148.51,147.19,1645542000000,18736,MMM
941619,147.1422,148.01,146.43,148.1,146.15,1645549200000,17011,MMM
1275419.0,146.8443,146.43,146.71,147.795,145.88,1645556400000,25104,MMM
137964,146.7509,146.75,146.75,147.5,146,1645563600000,72,MMM
414,147.9384,148,147.9,148,147.9,1645606800000,7,MMM
501,147.5011,147.5,147.5,147.5,147.5,1645614000000,6,MMM
338658,146.681,147.79,146.43,147.79,146.4,1645621200000,6604,MMM
772868,145.4767,146.41,145.6553,146.46,145.07,1645628400000,18423,MMM
649704,145.4306,145.6541,145.155,146.185,144.72,1645635600000,14492,MMM
1575145.0,144.5361,145.14,144.41,145.31,144.13,1645642800000,30947,MMM
36798,144.3796,144.38,144.01,144.75,144.01,1645650000000,57,MMM
4518,142.064,141.99,141.7,142.5,141.56,1645700400000,188,MMM
758153,141.4152,142.3914,141.7401,143.06,140.45,1645707600000,13844,MMM
1838144.0,140.8948,141.75,140.58,142.06,139.74,1645714800000,36720,MMM
1189046.0,140.7715,140.6,141.2198,141.73,140.07,1645722000000,21225,MMM
1654615.0,142.8733,141.17,143.64,143.89,141.0236,1645729200000,32320,MMM
