close,high,low,open,volume,timestamp,volume_weighted_average_price,number_of_trades,ticker
150.29,150.4,146.67,147.55,15317,1645520400000,148.1574,417,DIS
150.35,150.45,149.6,150.21,21794,1645527600000,150.1648,500,DIS
149.88,151.738,148.8025,150.35,1510930.0,1645534800000,149.8864,24887,DIS
149.61,150.79,149.2,149.91,2526675.0,1645542000000,149.8943,47154,DIS
148.29,150.12,148.165,149.59,1893185.0,1645549200000,149.2742,33903,DIS
148.08,149.8,147.61,148.27,4104576.0,1645556400000,148.4787,57664,DIS
148.89,149.25,148.08,148.08,427446,1645563600000,148.1025,300,DIS
149,149,148.85,148.97,2346,1645570800000,148.9427,24,DIS
149.68,150.01,149.68,149.7,2945,1645606800000,149.8013,52,DIS
149.24,149.5,148.9,149.24,7559,1645614000000,149.3165,126,DIS
149,149.88,148.8196,149.33,1137891.0,1645621200000,149.3061,15301,DIS
147.925,148.99,146.915,148.93,2312369.0,1645628400000,147.788,43130,DIS
147.2496,148.52,146.75,147.9569,1411106.0,1645635600000,147.6715,31043,DIS
145.94,147.77,145.5,147.21,2945445.0,1645642800000,146.2596,53113,DIS
145,146.28,145,145.87,142110,1645650000000,145.8251,685,DIS
144.2,145.85,144,145.48,18507,1645657200000,144.9835,407,DIS
140.25,142.5,140.25,142.5,16523,1645693200000,141.0336,552,DIS
139.55,140.51,139.3,140.25,68918,1645700400000,139.8417,1743,DIS
143.6201,146.234,139,140.7004,2879751.0,1645707600000,142.7174,37311,DIS
145.46,145.61,142.34,143.63,3039398.0,1645714800000,144.292,58244,DIS
146.18,147.11,144.4801,145.5,1703587.0,1645722000000,145.5057,36421,DIS
149.4,149.57,145.88,146.15,3086452.0,1645729200000,148.2759,53656,DIS
147.9801,149.68,147.5,149.4,253595,1645736400000,149.3578,400,DIS
148.34,148.34,147.98,147.98,2535,1645743600000,148.1324,60,DIS
148.28,148.4,147.38,148.33,1501,1645779600000,148.1037,29,DIS
148.5,148.99,147.8,147.99,4691,1645786800000,148.3102,113,DIS
147.57,150.37,147.5,148.7999,1221058.0,1645794000000,148.7533,20796,DIS
150.1,150.1552,147.22,147.545,2306262.0,1645801200000,148.4176,38655,DIS
149.28,150.28,148.96,150.102,1626680.0,1645808400000,149.6398,27473,DIS
149.52,149.63,148.32,149.28,3032369.0,1645815600000,149.0238,44769,DIS
149.47,149.58,149.13,149.53,663966,1645822800000,149.5296,300,DIS
149.4,149.4799,149.2,149.2,2841,1645830000000,149.3237,34,DIS
146.4,146.4,146.21,146.26,581,1646038800000,146.3185,12,DIS
147.8,148,146.66,146.66,8483,1646046000000,147.2939,168,DIS
147.68,148.6727,146.72,147.83,987229,1646053200000,147.719,18748,DIS
149.25,149.48,146.46,147.71,1941974.0,1646060400000,148.0753,36749,DIS
147.91,149.3291,146.93,149.25,1211118.0,1646067600000,147.7966,24852,DIS
148.46,148.65,146.57,147.87,2406548.0,1646074800000,147.6591,43776,DIS
148.41,149.25,147.6,148.46,787831,1646082000000,148.4583,270,DIS
148.46,148.5,148.26,148.28,10270,1646089200000,148.3309,41,DIS
149,149,149,149,176,1646125200000,148.9773,4,DIS
147.89,148.17,147,148.17,2559,1646132400000,147.6677,89,DIS
146.87,148.3,146.63,147.0009,943274,1646139600000,147.4882,15543,DIS
145.07,147.419,144.86,146.92,2347213.0,1646146800000,146.0887,42458,DIS
144.74,145.7,143.779,145.035,1837600.0,1646154000000,144.7669,33544,DIS
145.69,146.61,144.55,144.77,2712728.0,1646161200000,145.5595,45249,DIS
145.75,146,145.36,145.69,78294,1646168400000,145.6959,284,DIS
145.8101,146.3,145.55,145.72,6377,1646175600000,145.8603,59,DIS
146.88,146.88,146.47,146.47,587,1646211600000,146.7538,7,DIS
146.25,147.01,146.21,146.51,10060,1646218800000,146.6864,190,DIS
146.605,147.7,145.7664,147,907863,1646226000000,146.7781,14364,DIS
147.51,148.2557,146.05,146.64,1712202.0,1646233200000,147.3102,34294,DIS
148.11,148.465,147.22,147.4695,1300473.0,1646240400000,147.9087,25769,DIS
147.32,148.37,147,148.105,2312454.0,1646247600000,147.6347,40696,DIS
147.36,147.71,146.95,147.34,80434,1646254800000,147.3483,222,DIS
147.48,147.59,147.34,147.36,5561,1646262000000,147.5127,73,DIS
147.25,147.34,147.25,147.33,1639,1646298000000,147.3113,41,DIS
147.6,147.7,147.35,147.35,780,1646305200000,147.5329,47,DIS
146.645,148.65,146.1059,147.65,921765,1646312400000,147.4444,14848,DIS
145.7,146.9,144.45,146.65,1537071.0,1646319600000,145.4983,34459,DIS
146.085,146.51,145.0201,145.71,1379890.0,1646326800000,145.9329,22878,DIS
145.645,146.51,144.82,146.07,2804777.0,1646334000000,145.3987,39551,DIS
146,147.33,144.79,145.64,228926,1646341200000,145.8366,1066,DIS
140.18,146,140.12,146,36259,1646348400000,143.5327,771,DIS
143.89,144.34,143.49,143.49,3215,1646384400000,144.0031,50,DIS
143.3,143.95,143.1,143.89,10238,1646391600000,143.5467,165,DIS
141.85,145,141.09,143.5001,1699002.0,1646398800000,142.5546,28810,DIS
140.189,142.02,139.55,141.82,4001742.0,1646406000000,140.3626,72265,DIS
140.4,141.37,139.765,140.18,2255940.0,1646413200000,140.6758,43441,DIS
140.7,140.82,139.74,140.42,3531372.0,1646420400000,140.2591,61829,DIS
140.72,141,140.5,140.72,227287,1646427600000,140.7174,438,DIS
140.36,140.6,140.01,140.55,12181,1646434800000,140.2527,201,DIS
137.53,139.6,136.62,139.6,3892,1646643600000,137.5525,194,DIS
138.65,139,137.65,137.65,10679,1646650800000,138.5055,359,DIS
138.24,140.89,138.106,138.106,1468741.0,1646658000000,139.8488,25238,DIS
135.36,138.43,135.26,138.3,3672169.0,1646665200000,136.5503,69308,DIS
134.64,135.65,133.94,135.35,3257058.0,1646672400000,134.8063,60358,DIS
133.49,135.29,133.44,134.65,3912980.0,1646679600000,134.1396,63348,DIS
133.3,133.9,132.56,133.9,171052,1646686800000,133.4433,1400,DIS
133.47,133.5,133.03,133.13,11930,1646694000000,133.333,202,DIS
134,137.25,133.8,137.17,1335,1646730000000,135.6075,29,DIS
133.85,134.9,133.85,134.3,3552,1646737200000,134.4733,102,DIS
130.7,134.99,130.27,133.88,1964509.0,1646744400000,131.5496,35105,DIS
132.11,132.74,129.29,130.71,4834218.0,1646751600000,131.0353,81039,DIS
132.3049,135.485,131.9876,132.14,3630606.0,1646758800000,134.0428,56758,DIS
131.73,133.3,131.42,132.32,3988901.0,1646766000000,132.2636,63979,DIS
131.49,132.1605,131.2,132.1605,1051726.0,1646773200000,131.7463,410,DIS
132.1,132.16,131.45,131.45,9330,1646780400000,131.9102,114,DIS
134.7,135.09,134.53,134.85,13509,1646823600000,134.9115,230,DIS
134.235,135.5,133.92,135,1508263.0,1646830800000,134.8191,23918,DIS
133.89,135.325,133.4,134.235,3324287.0,1646838000000,134.3691,49201,DIS
134.08,134.96,133.68,133.87,4712352.0,1646845200000,134.2602,51284,DIS
133.64,134.27,133.36,134.07,4054188.0,1646852400000,133.9202,60515,DIS
133.95,134.23,133.3,133.65,233977,1646859600000,133.6837,735,DIS
134,134,133.64,133.92,15473,1646866800000,133.7738,187,DIS
132.9,133.19,132.9,133.19,643,1646902800000,133.0246,19,DIS
132.9,133.22,132.7,133.22,7778,1646910000000,132.9022,191,DIS
133.34,133.984,131.62,132.9,1381472.0,1646917200000,132.444,20093,DIS
132.75,134.2,131.69,133.36,2285573.0,1646924400000,132.7993,45321,DIS
133.16,133.47,132.4,132.72,1312297.0,1646931600000,132.8284,24470,DIS
133.64,134.01,133.06,133.2,2108196.0,1646938800000,133.5159,49636,DIS
133.4,133.85,133,133.64,66468,1646946000000,133.6176,254,DIS
133.65,133.9,133.22,133.69,7585,1646953200000,133.6754,71,DIS
134.53,134.53,134.14,134.14,926,1646989200000,134.3592,13,DIS
135.3,135.5,134.25,134.46,6451,1646996400000,134.9736,161,DIS
134.26,136.16,133.935,135.4999,1353101.0,1647003600000,135.2403,20307,DIS
133.29,134.3,132.8,134.23,1571855.0,1647010800000,133.5018,30375,DIS
133.1134,133.743,132.83,133.31,1006990.0,1647018000000,133.236,21407,DIS
131.75,133.73,131.57,133.08,2230033.0,1647025200000,132.5353,42315,DIS
131.75,131.94,131.38,131.38,208400,1647032400000,131.7517,313,DIS
131.56,131.75,131,131.63,8484,1647039600000,131.4434,220,DIS
132.2,132.65,131.2,131.2,1229,1647241200000,132.1513,30,DIS
133.01,133.2,133,133.01,1812,1647248400000,133.1187,37,DIS
131.8,133.09,131.1,132.2,41885,1647255600000,131.6268,552,DIS
132.815,133.07,130.4,131.8,1786401.0,1647262800000,131.964,34139,DIS
129.6395,132.9008,129.58,132.8,1754569.0,1647270000000,131.2458,34640,DIS
128.9652,129.88,128.38,129.64,2647172.0,1647277200000,129.0496,47108,DIS
129.13,129.58,128.62,128.94,2561376.0,1647284400000,128.9843,34095,DIS
129.28,129.45,129.1,129.2,2850,1647291600000,129.1719,58,DIS
129.2999,129.5,129.15,129.24,3865,1647298800000,129.344,59,DIS
128.8,129.21,128.73,129.21,3144,1647327600000,128.8395,22,DIS
128.5,128.5,127.53,128.21,8981,1647334800000,128.0934,127,DIS
129.8,130.25,128.5,128.95,35747,1647342000000,129.4206,547,DIS
132.72,133.17,129.31,130,2359037.0,1647349200000,131.4445,37309,DIS
133.327,133.98,132.39,132.76,2596875.0,1647356400000,133.1853,32820,DIS
133.82,133.88,132.61,133.3299,1390284.0,1647363600000,133.2163,24785,DIS
134.01,134.56,133.54,133.77,2419234.0,1647370800000,134.1441,27864,DIS
134.18,134.2,134.17,134.17,1926,1647378000000,134.1803,32,DIS
134.17,134.18,134.17,134.1799,599,1647385200000,134.1787,9,DIS
135.5,135.55,135.49,135.55,4979,1647414000000,135.5023,8,DIS
136.09,136.37,135.9,135.9,1051,1647421200000,136.1872,30,DIS
135.6,136.3487,135.3,136.05,59459,1647428400000,135.9345,912,DIS
138.3901,138.98,134.94,135.78,3591694.0,1647435600000,137.1281,53358,DIS
137.23,138.7586,137.07,138.36,1730889.0,1647442800000,138.029,30748,DIS
136.86,137.65,135.36,137.2375,1866669.0,1647450000000,136.6533,34717,DIS
138.5,138.65,136.57,136.89,2229122.0,1647457200000,137.7251,27688,DIS
138.22,138.65,138.14,138.55,32296,1647464400000,138.3706,312,DIS
138.45,138.45,138.14,138.14,560,1647471600000,138.2569,5,DIS
138.5,138.8,138.5,138.8,404,1647500400000,138.6522,9,DIS
137.5,138.79,137.5,138.44,3641,1647507600000,138.0625,130,DIS
137.6,138.485,137.24,137.57,15975,1647514800000,137.426,160,DIS
137.1442,138.68,136.56,137.53,1769455.0,1647522000000,137.6808,34418,DIS
138.49,138.57,136.9414,137.14,1087251.0,1647529200000,137.7988,21292,DIS
138.705,138.9,137.92,138.47,1149826.0,1647536400000,138.441,22974,DIS
139.15,139.47,138.31,138.69,1733292.0,1647543600000,139.0287,25376,DIS
138.75,139,138.5001,138.85,1931,1647550800000,138.813,35,DIS
138.85,139,138.5,138.75,1792,1647558000000,138.7697,29,DIS
139.13,139.8,139.13,139.8,350,1647586800000,139.3879,10,DIS
138.7,138.85,138,138.6999,3494,1647601200000,138.5475,105,DIS
139.73,140.3,138.3,138.7905,2654843.0,1647608400000,139.5654,30159,DIS
140.25,140.62,139.5375,139.71,1525063.0,1647615600000,140.0734,26592,DIS
140.053,140.725,139.675,140.26,1436808.0,1647622800000,140.2573,26496,DIS
140.19,140.48,139.57,140.045,2558582.0,1647630000000,140.2084,28709,DIS
140.06,140.3,140,140.01,62477,1647637200000,140.2688,101,DIS
140.25,140.25,140.2,140.2,882,1647644400000,140.2585,15,DIS
139.99,140.33,139.99,140.33,2396,1647846000000,140.1767,66,DIS
139.64,139.9496,139.3,139.84,206578,1647860400000,140.2241,693,DIS
138,139.77,137.83,139.56,2206249.0,1647867600000,138.4008,41230,DIS
137.7905,139.09,137.33,137.99,2080655.0,1647874800000,138.1489,35091,DIS
137.83,138.61,136.88,137.82,1607233.0,1647882000000,137.6904,30648,DIS
138.51,138.844,137.71,137.83,1691430.0,1647889200000,138.23,24388,DIS
138.51,138.62,138.07,138.07,99731,1647896400000,138.607,220,DIS
138.48,138.59,138.44,138.51,2100,1647903600000,138.4876,17,DIS
139.11,139.12,139.11,139.12,817,1647932400000,139.1136,11,DIS
139.1,139.12,139.09,139.09,1303,1647939600000,139.1068,19,DIS
139.1,139.17,138.85,139,12510,1647946800000,139.0018,155,DIS
141.7,141.75,138.9,139,2147448.0,1647954000000,140.4842,35098,DIS
141.015,142.19,140.84,141.7,1674911.0,1647961200000,141.5996,27483,DIS
140.6108,141.26,140.54,141.03,1208014.0,1647968400000,140.8761,21278,DIS
