volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_trades,ticker
322,158.4944,158.49,158.5,158.5,158.49,1644832800000,6,MMM
640,158.9812,158.99,158.98,158.99,158.98,1644836400000,15,MMM
1400,159.1857,159.04,159.6,159.6,159.04,1644840000000,46,MMM
11781,158.6848,159,160,160.1,157,1644843600000,465,MMM
761527,157.4548,160.1,156.33,160.1,155.74,1644847200000,14538,MMM
982045,156.0152,156.33,155.93,156.49,155.36,1644850800000,16102,MMM
583105,156.4608,155.97,157.04,157.07,155.86,1644854400000,10263,MMM
324760,157.2747,157.005,157.6,157.73,156.8,1644858000000,6084,MMM
499852,156.9189,157.59,156.65,157.83,156.43,1644861600000,7660,MMM
453117,157.0369,156.61,157.49,157.85,156.51,1644865200000,8500,MMM
627163,157.9748,157.55,158,158.42,157.31,1644868800000,12735,MMM
39910,158.0112,158.01,158.49,158.49,158.01,1644872400000,30,MMM
366,157.9936,157.83,158.15,158.15,157.83,1644879600000,8,MMM
1195,159.3128,159.4,159.3,159.4,159.3,1644926400000,20,MMM
303,159.2754,159.32,159.32,159.32,159.32,1644930000000,10,MMM
432831,157.5241,159.3,156.52,159.3,156.25,1644933600000,8107,MMM
410953,157.2871,156.52,157.59,157.99,156.48,1644937200000,8403,MMM
259209,158.0346,157.62,158.545,158.64,157.44,1644940800000,5488,MMM
366548,157.8221,158.52,157.72,158.56,157.25,1644944400000,6444,MMM
321791,157.8354,157.72,157.745,158.1622,157.5,1644948000000,6033,MMM
368126,157.5412,157.76,157.355,157.8492,157.15,1644951600000,6197,MMM
851131,157.0822,157.34,157.34,157.57,156.52,1644955200000,15356,MMM
39204,157.2262,157.31,156.6,157.34,156.6,1644958800000,165,MMM
308,156.7499,156.75,156.75,156.75,156.75,1644962400000,5,MMM
100,156.7,156.7,156.7,156.7,156.7,1644966000000,1,MMM
200,156.7,156.7,156.7,156.7,156.7,1644969600000,2,MMM
